ENSSTUG00000032213_1	709ddc0cf529fb3f30d01a680a639717	235	PANTHER	PTHR38706	SI:CH211-198C19.1-RELATED	33	210	2.0E-48	T	23-10-2024	-	-	-	-
ENSOMYG00000058815_1	6bae0cef9263e969d34e277f34d95bf5	242	PANTHER	PTHR38706	SI:CH211-198C19.1-RELATED	38	217	4.1E-48	T	23-10-2024	-	-	-	-
ENSOTSG00005062829_1	080b61550265dfb746b65deb97c59537	206	PANTHER	PTHR38706	SI:CH211-198C19.1-RELATED	2	181	4.7E-49	T	23-10-2024	-	-	-	-
ENSSSAG00000107990_1	6d7abbd6d6472d1e7d22a2266bfe4e23	228	PANTHER	PTHR38706	SI:CH211-198C19.1-RELATED	25	204	1.2E-48	T	20-10-2024	-	-	-	-
ENSSSAG00000121001_1	8c2a6bd1a7cc6fdd3fe05b410f564b9c	222	PANTHER	PTHR38706	SI:CH211-198C19.1-RELATED	2	193	7.3E-58	T	13-06-2024	-	-	-	-
ENSOKIG00005044680_1	9146d9980cc4bcc95dce7d9ca36a65aa	206	PANTHER	PTHR38706	SI:CH211-198C19.1-RELATED	4	153	1.9E-51	T	13-06-2024	-	-	-	-
ENSSSAG00000119632_1	263bcd8c598150296540408a524593b6	240	PANTHER	PTHR38706	SI:CH211-198C19.1-RELATED	2	183	4.9E-59	T	13-06-2024	-	-	-	-
ENSOKIG00005030333_1	b0a89d4a84c127b7d356a1e8f1e098cd	202	PANTHER	PTHR38706	SI:CH211-198C19.1-RELATED	5	184	9.6E-60	T	13-06-2024	-	-	-	-
ENSHHUG00000012488_1	ab2fe25812d4daa97a098c19dc95082d	195	PANTHER	PTHR38706	SI:CH211-198C19.1-RELATED	5	174	6.5E-52	T	13-06-2024	-	-	-	-
ENSOTSG00005054419_1	87b6c6d639e008410885c457e8c778e3	209	PANTHER	PTHR38706	SI:CH211-198C19.1-RELATED	6	198	5.1E-58	T	13-06-2024	-	-	-	-
ENSSTUG00000039801_1	7e2e9939deb484bd1bae1882ffe6d64b	187	PANTHER	PTHR38706	SI:CH211-198C19.1-RELATED	5	148	2.0E-46	T	13-06-2024	-	-	-	-
ENSOTSG00005009230_1	c27eb2c3a20ba20837f3bad1423c88ea	264	PANTHER	PTHR38706	SI:CH211-198C19.1-RELATED	4	175	7.3E-59	T	13-06-2024	-	-	-	-
ENSOKIG00005030350_1	cfe44afa4af7acc0594a6d28606c216d	375	PANTHER	PTHR38706	SI:CH211-198C19.1-RELATED	54	313	8.9E-62	T	13-06-2024	-	-	-	-
ENSOKIG00005030350_1	cfe44afa4af7acc0594a6d28606c216d	375	MobiDBLite	mobidb-lite	consensus disorder prediction	1	40	-	T	13-06-2024	-	-	-	-
ENSOTSG00005061399_1	38786ef945d6da7580c2835457b81084	214	PANTHER	PTHR38706	SI:CH211-198C19.1-RELATED	2	175	3.2E-62	T	13-06-2024	-	-	-	-
ENSSSAG00000100801_1	ebfc296da72bf7deb93970c964c402be	171	PANTHER	PTHR38706	SI:CH211-198C19.1-RELATED	2	169	4.8E-57	T	13-06-2024	-	-	-	-
ENSELUG00000035823_1	03d919d53c3c0211808dcb9c6134388d	357	Phobius	TRANSMEMBRANE	Region of a membrane-bound protein predicted to be embedded in the membrane.	68	88	-	T	13-06-2024	-	-	-	-
ENSELUG00000035823_1	03d919d53c3c0211808dcb9c6134388d	357	SignalP_EUK	SignalP-noTM	SignalP-noTM	1	25	-	T	13-06-2024	-	-	-	-
ENSELUG00000035823_1	03d919d53c3c0211808dcb9c6134388d	357	Phobius	SIGNAL_PEPTIDE_H_REGION	Hydrophobic region of a signal peptide.	9	20	-	T	13-06-2024	-	-	-	-
ENSELUG00000035823_1	03d919d53c3c0211808dcb9c6134388d	357	PANTHER	PTHR38706	SI:CH211-198C19.1-RELATED	134	316	2.4E-55	T	13-06-2024	-	-	-	-
ENSELUG00000035823_1	03d919d53c3c0211808dcb9c6134388d	357	Phobius	NON_CYTOPLASMIC_DOMAIN	Region of a membrane-bound protein predicted to be outside the membrane, in the extracellular region.	26	67	-	T	13-06-2024	-	-	-	-
ENSELUG00000035823_1	03d919d53c3c0211808dcb9c6134388d	357	Phobius	SIGNAL_PEPTIDE_C_REGION	C-terminal region of a signal peptide.	21	25	-	T	13-06-2024	-	-	-	-
ENSELUG00000035823_1	03d919d53c3c0211808dcb9c6134388d	357	Phobius	CYTOPLASMIC_DOMAIN	Region of a membrane-bound protein predicted to be outside the membrane, in the cytoplasm.	89	357	-	T	13-06-2024	-	-	-	-
ENSELUG00000035823_1	03d919d53c3c0211808dcb9c6134388d	357	Phobius	SIGNAL_PEPTIDE_N_REGION	N-terminal region of a signal peptide.	1	8	-	T	13-06-2024	-	-	-	-
ENSELUG00000035823_1	03d919d53c3c0211808dcb9c6134388d	357	Phobius	SIGNAL_PEPTIDE	Signal peptide region	1	25	-	T	13-06-2024	-	-	-	-
ENSOKIG00005030384_1	1845f850c2c2a43a0a996d024672d397	199	Phobius	SIGNAL_PEPTIDE	Signal peptide region	1	14	-	T	13-06-2024	-	-	-	-
ENSOKIG00005030384_1	1845f850c2c2a43a0a996d024672d397	199	Phobius	SIGNAL_PEPTIDE_H_REGION	Hydrophobic region of a signal peptide.	2	9	-	T	13-06-2024	-	-	-	-
ENSOKIG00005030384_1	1845f850c2c2a43a0a996d024672d397	199	PANTHER	PTHR38706	SI:CH211-198C19.1-RELATED	8	179	3.2E-56	T	13-06-2024	-	-	-	-
ENSOKIG00005030384_1	1845f850c2c2a43a0a996d024672d397	199	Phobius	NON_CYTOPLASMIC_DOMAIN	Region of a membrane-bound protein predicted to be outside the membrane, in the extracellular region.	15	199	-	T	13-06-2024	-	-	-	-
ENSOKIG00005030384_1	1845f850c2c2a43a0a996d024672d397	199	Phobius	SIGNAL_PEPTIDE_N_REGION	N-terminal region of a signal peptide.	1	1	-	T	13-06-2024	-	-	-	-
ENSOKIG00005030384_1	1845f850c2c2a43a0a996d024672d397	199	Phobius	SIGNAL_PEPTIDE_C_REGION	C-terminal region of a signal peptide.	10	14	-	T	13-06-2024	-	-	-	-
ENSOMYG00000058463_1	9344bec408fde3bc0d1066135035ff69	179	PANTHER	PTHR38706	SI:CH211-198C19.1-RELATED	2	174	2.4E-60	T	13-06-2024	-	-	-	-
